id,source,description
"87AE93-y",objects/014998D39V1.jpg,87.AE.93
"73AE135-a",objects/00821901.jpg,"Mixing Vessel with a Dancing Girl; Myson (Greek (Attic), active 500–475 B.C.); Athens, Greece; about 490 B.C.; Terracotta; 35 × 34.5 × 30 cm (13 3/4 × 13 9/16 × 11 13/16 in.); 73.AE.135"
"73AE135-b",objects/008219F3V1.jpg,"Mixing Vessel with a Dancing Girl; Myson (Greek (Attic), active 500–475 B.C.); Athens, Greece; about 490 B.C.; Terracotta; 35 × 34.5 × 30 cm (13 3/4 × 13 9/16 × 11 13/16 in.); 73.AE.135"
"73AE135-c",objects/008219F4V1.jpg,"Mixing Vessel with a Dancing Girl; Myson (Greek (Attic), active 500–475 B.C.); Athens, Greece; about 490 B.C.; Terracotta; 35 × 34.5 × 30 cm (13 3/4 × 13 9/16 × 11 13/16 in.); 73.AE.135"
"73AE135-d",objects/008219F5V1.jpg,"Mixing Vessel with a Dancing Girl; Myson (Greek (Attic), active 500–475 B.C.); Athens, Greece; about 490 B.C.; Terracotta; 35 × 34.5 × 30 cm (13 3/4 × 13 9/16 × 11 13/16 in.); 73.AE.135"
"73AE135-e",objects/008219F6V1.jpg,"Mixing Vessel with a Dancing Girl; Myson (Greek (Attic), active 500–475 B.C.); Athens, Greece; about 490 B.C.; Terracotta; 35 × 34.5 × 30 cm (13 3/4 × 13 9/16 × 11 13/16 in.); 73.AE.135"
"76AE13110-a",objects/00865801.jpg,76.AE.131.10
"76AE13110-b",objects/008658F1V1.jpg,76.AE.131.10
"77AE11-a",objects/00871301.jpg,"Red-Figure Volute Krater; Attributed to Kleophrades Painter (Greek (Attic), active 505–475 B.C.); Athens, Greece; 500–480 B.C.; Terracotta; 56.9 × 46.9 cm (22 3/8 × 18 7/16 in.); 77.AE.11"
"77AE11-b",objects/008713D32V1.jpg,"Red-Figure Volute Krater; Attributed to Kleophrades Painter (Greek (Attic), active 505–475 B.C.); Athens, Greece; 500–480 B.C.; Terracotta; 56.9 × 46.9 cm (22 3/8 × 18 7/16 in.); 77.AE.11"
"77AE11-c",objects/008713D33V1.jpg,"Red-Figure Volute Krater; Attributed to Kleophrades Painter (Greek (Attic), active 505–475 B.C.); Athens, Greece; 500–480 B.C.; Terracotta; 56.9 × 46.9 cm (22 3/8 × 18 7/16 in.); 77.AE.11"
"77AE11-d",objects/008713D34V1.jpg,"Red-Figure Volute Krater; Attributed to Kleophrades Painter (Greek (Attic), active 505–475 B.C.); Athens, Greece; 500–480 B.C.; Terracotta; 56.9 × 46.9 cm (22 3/8 × 18 7/16 in.); 77.AE.11"
"77AE11-e",objects/008713D35V1.jpg,"Red-Figure Volute Krater; Attributed to Kleophrades Painter (Greek (Attic), active 505–475 B.C.); Athens, Greece; 500–480 B.C.; Terracotta; 56.9 × 46.9 cm (22 3/8 × 18 7/16 in.); 77.AE.11"
"77AE11-f",objects/008713D36V1.jpg,"Red-Figure Volute Krater; Attributed to Kleophrades Painter (Greek (Attic), active 505–475 B.C.); Athens, Greece; 500–480 B.C.; Terracotta; 56.9 × 46.9 cm (22 3/8 × 18 7/16 in.); 77.AE.11"
"77AE11-g",objects/008713D37V1.jpg,"Red-Figure Volute Krater; Attributed to Kleophrades Painter (Greek (Attic), active 505–475 B.C.); Athens, Greece; 500–480 B.C.; Terracotta; 56.9 × 46.9 cm (22 3/8 × 18 7/16 in.); 77.AE.11"
"77AE11-h",objects/008713D38V1.jpg,"Red-Figure Volute Krater; Attributed to Kleophrades Painter (Greek (Attic), active 505–475 B.C.); Athens, Greece; 500–480 B.C.; Terracotta; 56.9 × 46.9 cm (22 3/8 × 18 7/16 in.); 77.AE.11"
"77AE11-i",objects/008713D39V1.jpg,"Red-Figure Volute Krater; Attributed to Kleophrades Painter (Greek (Attic), active 505–475 B.C.); Athens, Greece; 500–480 B.C.; Terracotta; 56.9 × 46.9 cm (22 3/8 × 18 7/16 in.); 77.AE.11"
"77AE11-j",objects/008713D40V1.jpg,"Red-Figure Volute Krater; Attributed to Kleophrades Painter (Greek (Attic), active 505–475 B.C.); Athens, Greece; 500–480 B.C.; Terracotta; 56.9 × 46.9 cm (22 3/8 × 18 7/16 in.); 77.AE.11"
"77AE11-k",objects/008713D41V1.jpg,"Red-Figure Volute Krater; Attributed to Kleophrades Painter (Greek (Attic), active 505–475 B.C.); Athens, Greece; 500–480 B.C.; Terracotta; 56.9 × 46.9 cm (22 3/8 × 18 7/16 in.); 77.AE.11"
"77AE11-l",objects/008713D42V1.jpg,"Red-Figure Volute Krater; Attributed to Kleophrades Painter (Greek (Attic), active 505–475 B.C.); Athens, Greece; 500–480 B.C.; Terracotta; 56.9 × 46.9 cm (22 3/8 × 18 7/16 in.); 77.AE.11"
"77AE11-m",objects/008713F11V1.jpg,"Red-Figure Volute Krater; Attributed to Kleophrades Painter (Greek (Attic), active 505–475 B.C.); Athens, Greece; 500–480 B.C.; Terracotta; 56.9 × 46.9 cm (22 3/8 × 18 7/16 in.); 77.AE.11"
"77AE11-n",objects/008713F12V1.jpg,"Red-Figure Volute Krater; Attributed to Kleophrades Painter (Greek (Attic), active 505–475 B.C.); Athens, Greece; 500–480 B.C.; Terracotta; 56.9 × 46.9 cm (22 3/8 × 18 7/16 in.); 77.AE.11"
"77AE11-o",objects/008713F13V1.jpg,"Red-Figure Volute Krater; Attributed to Kleophrades Painter (Greek (Attic), active 505–475 B.C.); Athens, Greece; 500–480 B.C.; Terracotta; 56.9 × 46.9 cm (22 3/8 × 18 7/16 in.); 77.AE.11"
"77AE11-p",objects/008713F14V1.jpg,"Red-Figure Volute Krater; Attributed to Kleophrades Painter (Greek (Attic), active 505–475 B.C.); Athens, Greece; 500–480 B.C.; Terracotta; 56.9 × 46.9 cm (22 3/8 × 18 7/16 in.); 77.AE.11"
"78AE3801",objects/11430101.jpg,"Attic Red-Figure Column Krater; Agrigento Painter; Athens, Greece, Europe; 470–460 B.C.; Terracotta; 33.5 cm (13 3/16 in.); 78.AE.380.1"
"78AE3801",objects/114301F1V1.jpg,"Attic Red-Figure Column Krater; Agrigento Painter; Athens, Greece, Europe; 470–460 B.C.; Terracotta; 33.5 cm (13 3/16 in.); 78.AE.380.1"
"78AE3801",objects/114301F2V1.jpg,"Attic Red-Figure Column Krater; Agrigento Painter; Athens, Greece, Europe; 470–460 B.C.; Terracotta; 33.5 cm (13 3/16 in.); 78.AE.380.1"
